mechanism,missing_rate,repetition,method,term,estimate,std.error,conf.low,conf.high,true_estimate,bias,ci_width,ci_cover
MAR,0.2,2,complete_case,sexFemale,-0.2324228327418118,0.09674847977635612,-0.42282752849939037,-0.042018136984233234,-0.09307566573776974,-0.13934716700404207,0.38080939151515714,1
MAR,0.2,2,complete_case,smoking_statusYes,-0.10245511158168924,0.09769973410100205,-0.2947319121071254,0.08982168894374692,-0.022120133000263893,-0.08033497858142535,0.38455360105087233,1
MAR,0.2,2,complete_case,systolic_bp,-4.931502605457211e-4,0.002986634759202891,-0.006370961301913728,0.0053846607808222865,0.0020175183065907756,-0.002510668567136497,0.011755622082736015,1
MAR,0.2,3,complete_case,(Intercept),4.269462297913501,0.47861588429189844,3.327377689044481,5.21154690678252,4.0349672958498015,0.23449500206369933,1.8841692177380396,1
MAR,0.2,3,complete_case,age,0.024278218922659207,0.004003544271645641,0.016397833914495088,0.03215860393082333,0.01753512986073419,0.006743089061925018,0.01576077001632824,1
MAR,0.2,3,complete_case,bmi,0.027408886250247205,0.009738107098473026,0.008240862124674158,0.04657691037582025,0.02897241650381511,-0.0015635302535679033,0.03833604825114609,1
MAR,0.2,3,complete_case,income_ratio,-0.1129450586214479,0.03667000155299185,-0.18512453532516632,-0.04076558191772947,-0.05343704488580892,-0.05950801373563897,0.14435895340743685,1
MAR,0.2,3,complete_case,sexFemale,-0.1508517473158714,0.11881563185332548,-0.3847227527206962,0.08301925808895344,-0.09307566573776974,-0.05777608157810166,0.46774201080964967,1
MAR,0.2,3,complete_case,smoking_statusYes,-0.20162745412767685,0.11861992736350954,-0.4351132441775727,0.03185833592221898,-0.022120133000263893,-0.17950732112741297,0.46697158009979167,1
MAR,0.2,3,complete_case,systolic_bp,1.0271904863536321e-4,0.0037362687542189664,-0.007251573617926469,0.007457011715197196,0.0020175183065907756,-0.0019147992579554125,0.014708585333123666,1
MAR,0.2,4,complete_case,(Intercept),4.321963203089223,0.4963900638386514,3.344817810435259,5.299108595743188,4.0349672958498015,0.2869959072394215,1.9542907853079288,1
MAR,0.2,4,complete_case,age,0.022743396625227435,0.003980112343450007,0.014908533033132063,0.03057826021732281,0.01753512986073419,0.005208266764493246,0.015669727184190747,1
MAR,0.2,4,complete_case,bmi,0.025230322005806907,0.009548717842230853,0.006433641078846614,0.0440270029327672,0.02897241650381511,-0.003742094498008202,0.037593361853920586,1
MAR,0.2,4,complete_case,income_ratio,-0.014787652233676294,0.03662290354561725,-0.08687995236650575,0.05730464789915316,-0.05343704488580892,0.03864939265213263,0.1441846002656589,1
MAR,0.2,4,complete_case,sexFemale,-0.006332414741084358,0.11465612135069002,-0.23203334809783485,0.2193685186156661,-0.09307566573776974,0.08674325099668538,0.45140186671350097,1
MAR,0.2,4,complete_case,smoking_statusYes,-0.07924667716060163,0.11955741765827387,-0.3145958276229712,0.15610247330176796,-0.022120133000263893,-0.05712654416033774,0.4706983009247392,1
MAR,0.2,4,complete_case,systolic_bp,-0.0024337261130467852,0.004160451789386211,-0.010623588468307587,0.005756136242214016,0.0020175183065907756,-0.004451244419637561,0.0163797247105216,1
MAR,0.2,5,complete_case,(Intercept),4.466176292047743,0.4756206825337997,3.5299445208013562,5.40240806329413,4.0349672958498015,0.43120899619794173,1.872463542492774,1
MAR,0.2,5,complete_case,age,0.02422097580670848,0.004097488833474246,0.01615530631607764,0.03228664529733932,0.01753512986073419,0.006685845945974291,0.01613133898126168,1
MAR,0.2,5,complete_case,bmi,0.023684884338215285,0.009106659742031965,0.005758951985988657,0.041610816690441914,0.02897241650381511,-0.005287532165599823,0.03585186470445326,1
MAR,0.2,5,complete_case,income_ratio,-0.09628856396903404,0.03894608704356127,-0.17295168101781405,-0.01962544692025403,-0.05343704488580892,-0.04285151908322512,0.15332623409756002,1
MAR,0.2,5,complete_case,sexFemale,-0.20318374691591345,0.12243562103556609,-0.44419117690216814,0.03782368307034126,-0.09307566573776974,-0.11010808117814372,0.48201485997250937,1
