method,mechanism,missing_rate,term,mean_bias,empirical_sd,mean_model_se,ci_coverage,avg_ci_width,n_repetitions
mice,MCAR,0.3,income_ratio,-0.01187259553455916,0.01353407735896721,0.025038439535210663,1,0.09929094122888643,8
missforest,MCAR,0.3,income_ratio,-0.01912843160520539,0.02245501913099888,0.025431128544842273,0.875,0.09980984742747845,8
complete_case,MAR,0.1,sexFemale,-0.03850715008251538,0.06447872692248882,0.08379535057433446,1,0.3292149114700399,8
knn,MAR,0.1,sexFemale,0.0046191768058981685,0.0323286777842174,0.06909471841297965,1,0.2711768489032604,8
mean_mode,MAR,0.1,sexFemale,-0.007436033394711,0.023175351071522538,0.06792103066999236,1,0.2665704629008263,8
mice,MAR,0.1,sexFemale,-0.020109167049896452,0.023403299874214384,0.07339159319216998,1,0.2892454340237497,8
missforest,MAR,0.1,sexFemale,-0.0066638421202156635,0.033494939684578215,0.06861892222909874,1,0.26930948605949223,8
complete_case,MAR,0.2,sexFemale,-0.07519646663545851,0.08214030917428654,0.11850190336726384,1,0.46651746805897665,8
knn,MAR,0.2,sexFemale,-0.01658322703241924,0.0530869287748162,0.06918652743163356,1,0.2715371728317937,8
mean_mode,MAR,0.2,sexFemale,0.007830091969975752,0.04708126859928689,0.06891870359281843,1,0.270486041481392,8
mice,MAR,0.2,sexFemale,-0.048846612266466125,0.04310138453845639,0.08060530641594588,1,0.32165290329410384,8
missforest,MAR,0.2,sexFemale,-0.062333571335398116,0.0626255751820917,0.06893228142588301,1,0.2705393305615121,8
complete_case,MAR,0.3,sexFemale,0.04418818596966928,0.16448058126847706,0.1549909259728731,1,0.6132064330711615,8
knn,MAR,0.3,sexFemale,-3.79145508646565e-4,0.03956116375866657,0.07068130562976074,1,0.2774037462962754,8
mean_mode,MAR,0.3,sexFemale,0.029971191573763052,0.048731925743199865,0.07146481950382419,1,0.28047881235516825,8
mice,MAR,0.3,sexFemale,-0.026499018242018942,0.03746235906890218,0.08370686781617505,1,0.33598530667241694,8
missforest,MAR,0.3,sexFemale,-0.05347729600250835,0.060413786871487116,0.0701095297164554,1,0.27515969068666746,8
complete_case,MCAR,0.1,sexFemale,-0.01851234607183321,0.07406833304667379,0.09684308819590069,1,0.38051065496402525,8
knn,MCAR,0.1,sexFemale,-0.011682174290548204,0.016988968247995163,0.06836634887162084,1,0.2683182084514355,8
mean_mode,MCAR,0.1,sexFemale,-0.017485670263082044,0.019849131074503146,0.06778821734951243,1,0.2660492089096767,8
mice,MCAR,0.1,sexFemale,-0.03403967529892693,0.02084234283639028,0.07231912846237593,1,0.28490305917917125,8
missforest,MCAR,0.1,sexFemale,-0.028124463392833213,0.0255200451016667,0.06833277434273169,1,0.2681864381055003,8
complete_case,MCAR,0.2,sexFemale,-0.021777076119071183,0.05306077887523184,0.1294111632140796,1,0.509690067449715,8
knn,MCAR,0.2,sexFemale,0.010493108752004637,0.04823332696708123,0.0693489225986498,1,0.27217452704178363,8
mean_mode,MCAR,0.2,sexFemale,0.007513563612868761,0.02820295010237898,0.06914712319013629,1,0.2713825225446504,8
mice,MCAR,0.2,sexFemale,-0.02604658830680926,0.04233242818676099,0.07806502369679003,1,0.3101350894627355,8
missforest,MCAR,0.2,sexFemale,-0.029799526731664937,0.057742620405444846,0.0687383927494917,1,0.2697783734071959,8
