method,mechanism,missing_rate,variable,metric,mean_value,sd_value,n_repetitions
missforest,MCAR,0.2,bmi,rmse,7.425056198231509,0.4794217909532901,8
complete_case,MCAR,0.3,bmi,rmse,,,0
knn,MCAR,0.3,bmi,rmse,8.26134618054614,0.4459581807973022,8
mean_mode,MCAR,0.3,bmi,rmse,7.456489686379038,0.38539728076576923,8
mice,MCAR,0.3,bmi,rmse,10.225064174841876,0.243795710977334,8
missforest,MCAR,0.3,bmi,rmse,7.24082572146777,0.2915128009590311,8
complete_case,MAR,0.1,income_ratio,rmse,,,0
knn,MAR,0.1,income_ratio,rmse,1.7948499339595112,0.09127869051569551,8
mean_mode,MAR,0.1,income_ratio,rmse,1.5184860840353673,0.07136221183928024,8
mice,MAR,0.1,income_ratio,rmse,2.1179723403625665,0.18929795123409057,8
missforest,MAR,0.1,income_ratio,rmse,1.4909263497738474,0.09464396397301321,8
complete_case,MAR,0.2,income_ratio,rmse,,,0
knn,MAR,0.2,income_ratio,rmse,1.897027001636661,0.09172487234776072,8
mean_mode,MAR,0.2,income_ratio,rmse,1.520564505102142,0.05448458276256364,8
mice,MAR,0.2,income_ratio,rmse,2.138341236965845,0.1209060166519687,8
missforest,MAR,0.2,income_ratio,rmse,1.5603311776355269,0.04232186384647737,8
complete_case,MAR,0.3,income_ratio,rmse,,,0
knn,MAR,0.3,income_ratio,rmse,1.8631647868280192,0.08818698082794554,8
mean_mode,MAR,0.3,income_ratio,rmse,1.508812462864557,0.03441565092315679,8
mice,MAR,0.3,income_ratio,rmse,2.186462393063862,0.05483371188121235,8
missforest,MAR,0.3,income_ratio,rmse,1.5700874490521926,0.060504478611372155,8
complete_case,MCAR,0.1,income_ratio,rmse,,,0
knn,MCAR,0.1,income_ratio,rmse,1.842575268780484,0.052191602595508126,8
mean_mode,MCAR,0.1,income_ratio,rmse,1.5586192197670135,0.04928295333714724,8
mice,MCAR,0.1,income_ratio,rmse,2.0513356841319723,0.1143010846494888,8
missforest,MCAR,0.1,income_ratio,rmse,1.542686912404171,0.06948080191741701,8
complete_case,MCAR,0.2,income_ratio,rmse,,,0
knn,MCAR,0.2,income_ratio,rmse,1.8644616768092528,0.07076861623737636,8
mean_mode,MCAR,0.2,income_ratio,rmse,1.5410899230136113,0.05253312817392367,8
mice,MCAR,0.2,income_ratio,rmse,2.1647718120673995,0.049307523942888364,8
missforest,MCAR,0.2,income_ratio,rmse,1.536226820229538,0.06404168738691629,8
complete_case,MCAR,0.3,income_ratio,rmse,,,0
knn,MCAR,0.3,income_ratio,rmse,1.903313813096749,0.07687713975300962,8
mean_mode,MCAR,0.3,income_ratio,rmse,1.5632228064425628,0.050293762245272565,8
mice,MCAR,0.3,income_ratio,rmse,2.141836660742748,0.06326915259780945,8
missforest,MCAR,0.3,income_ratio,rmse,1.6176279993524856,0.06907150187590963,8
complete_case,MAR,0.1,systolic_bp,rmse,,,0
knn,MAR,0.1,systolic_bp,rmse,20.480855066841496,1.822820520962551,8
mean_mode,MAR,0.1,systolic_bp,rmse,20.43089938619494,1.7214505652087784,8
mice,MAR,0.1,systolic_bp,rmse,25.304157557847784,2.8335544125455683,8
missforest,MAR,0.1,systolic_bp,rmse,18.692725876902152,2.4260600824755025,8
complete_case,MAR,0.2,systolic_bp,rmse,,,0
knn,MAR,0.2,systolic_bp,rmse,21.854523224288254,2.2306850234144613,8
mean_mode,MAR,0.2,systolic_bp,rmse,20.868138484929858,1.9652117570149592,8
mice,MAR,0.2,systolic_bp,rmse,26.487205599715715,1.3263279691713956,8
missforest,MAR,0.2,systolic_bp,rmse,19.96414707749114,1.9165423702820212,8
complete_case,MAR,0.3,systolic_bp,rmse,,,0
knn,MAR,0.3,systolic_bp,rmse,20.935733795255814,0.7941121167199207,8
mean_mode,MAR,0.3,systolic_bp,rmse,20.453192500173223,0.9466434019590209,8
mice,MAR,0.3,systolic_bp,rmse,26.191704064564792,0.908223862943679,8
missforest,MAR,0.3,systolic_bp,rmse,19.73495569550149,0.929856359718093,8
complete_case,MCAR,0.1,systolic_bp,rmse,,,0
knn,MCAR,0.1,systolic_bp,rmse,19.683706184427194,1.7218159145330743,8
mean_mode,MCAR,0.1,systolic_bp,rmse,19.662450442910817,1.6563107600880331,8
mice,MCAR,0.1,systolic_bp,rmse,23.50589842257735,2.245940183091066,8
missforest,MCAR,0.1,systolic_bp,rmse,17.440115598350978,1.5485027286985054,8
complete_case,MCAR,0.2,systolic_bp,rmse,,,0
knn,MCAR,0.2,systolic_bp,rmse,20.16684517835568,1.6427094048332824,8
mean_mode,MCAR,0.2,systolic_bp,rmse,19.81100414197173,1.668111828854311,8
mice,MCAR,0.2,systolic_bp,rmse,24.88246985243193,1.8977444056979762,8
missforest,MCAR,0.2,systolic_bp,rmse,18.14180515851758,1.4036035297226541,8
complete_case,MCAR,0.3,systolic_bp,rmse,,,0
knn,MCAR,0.3,systolic_bp,rmse,20.700897109336964,1.1821900260898566,8
mean_mode,MCAR,0.3,systolic_bp,rmse,19.831004832176202,1.249372261214453,8
mice,MCAR,0.3,systolic_bp,rmse,25.622513421579416,1.124146526897181,8
missforest,MCAR,0.3,systolic_bp,rmse,18.6281836477592,1.3537554747628857,8
