source_file,method,output_file,n_rows,n_cols
sim_mar_r10pct_rep036.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep036.csv,3852,12
sim_mar_r10pct_rep036.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep036.csv,3852,12
sim_mar_r10pct_rep036.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep036.csv,3852,12
sim_mar_r10pct_rep036.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep036.csv,38520,12
sim_mar_r10pct_rep037.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep037.csv,2144,12
sim_mar_r10pct_rep037.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep037.csv,3852,12
sim_mar_r10pct_rep037.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep037.csv,3852,12
sim_mar_r10pct_rep037.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep037.csv,3852,12
sim_mar_r10pct_rep037.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep037.csv,38520,12
sim_mar_r10pct_rep038.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep038.csv,2104,12
sim_mar_r10pct_rep038.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep038.csv,3852,12
sim_mar_r10pct_rep038.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep038.csv,3852,12
sim_mar_r10pct_rep038.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep038.csv,3852,12
sim_mar_r10pct_rep038.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep038.csv,38520,12
sim_mar_r10pct_rep039.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep039.csv,2103,12
sim_mar_r10pct_rep039.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep039.csv,3852,12
sim_mar_r10pct_rep039.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep039.csv,3852,12
sim_mar_r10pct_rep039.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep039.csv,3852,12
sim_mar_r10pct_rep039.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep039.csv,38520,12
sim_mar_r10pct_rep040.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep040.csv,2119,12
sim_mar_r10pct_rep040.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep040.csv,3852,12
sim_mar_r10pct_rep040.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep040.csv,3852,12
sim_mar_r10pct_rep040.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep040.csv,3852,12
sim_mar_r10pct_rep040.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep040.csv,38520,12
sim_mar_r10pct_rep041.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep041.csv,2126,12
sim_mar_r10pct_rep041.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep041.csv,3852,12
sim_mar_r10pct_rep041.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep041.csv,3852,12
sim_mar_r10pct_rep041.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep041.csv,3852,12
sim_mar_r10pct_rep041.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep041.csv,38520,12
sim_mar_r10pct_rep042.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep042.csv,2137,12
sim_mar_r10pct_rep042.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep042.csv,3852,12
sim_mar_r10pct_rep042.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep042.csv,3852,12
sim_mar_r10pct_rep042.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep042.csv,3852,12
sim_mar_r10pct_rep042.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep042.csv,38520,12
sim_mar_r10pct_rep043.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep043.csv,2133,12
sim_mar_r10pct_rep043.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep043.csv,3852,12
sim_mar_r10pct_rep043.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep043.csv,3852,12
sim_mar_r10pct_rep043.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep043.csv,3852,12
sim_mar_r10pct_rep043.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep043.csv,38520,12
sim_mar_r10pct_rep044.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep044.csv,2113,12
sim_mar_r10pct_rep044.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep044.csv,3852,12
sim_mar_r10pct_rep044.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep044.csv,3852,12
sim_mar_r10pct_rep044.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep044.csv,3852,12
sim_mar_r10pct_rep044.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep044.csv,38520,12
sim_mar_r10pct_rep045.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep045.csv,2112,12
sim_mar_r10pct_rep045.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep045.csv,3852,12
sim_mar_r10pct_rep045.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep045.csv,3852,12
sim_mar_r10pct_rep045.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep045.csv,3852,12
sim_mar_r10pct_rep045.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep045.csv,38520,12
sim_mar_r10pct_rep046.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep046.csv,2118,12
sim_mar_r10pct_rep046.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep046.csv,3852,12
sim_mar_r10pct_rep046.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep046.csv,3852,12
sim_mar_r10pct_rep046.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep046.csv,3852,12
sim_mar_r10pct_rep046.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep046.csv,38520,12
sim_mar_r10pct_rep047.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep047.csv,2128,12
sim_mar_r10pct_rep047.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep047.csv,3852,12
sim_mar_r10pct_rep047.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep047.csv,3852,12
